date,comment
2020. 4. 29.,언제부터인가 감성이 이성을 이기는 이상한 나라가 되는것 같습니다. 다른건 다 차치하고라도 정치와 외교에 대해서만큼은 이성적으로 판단하고 결정해야 하는데 지금 하는 꼬라지들 보면 앞날이 걱정되네요.. 불매운동부터도 말이 안되는게 유니클로까지는 그렇다 쳐도 일식집들까지 불매운동 하는거 보면서 대체 저 자영업자들이 무슨 죄를 지어서 불매운동을 당해서 망해야 하나 이해가 안갔었는데 .. 감성에 매몰된 나라에서 사는게 너무 힘이듭니다..
2020. 4. 29.,냄비근성이 이기느냐 불매운동이 이기느냐
2020. 4. 29.,선택적 불매의 기준은 자기의 이익과 손해에서 판가름냅니다. 즉 자기이익이 되면 일본제품 대체할 수 없다고 생각하여 이용합니다. 이러한 행동들 때문에 반대하는 이들에게 뭇매 맞고 하는 명분이 잃고 자기의 합리화에 돌려서 말하기에 지나지 않습니다.
2020. 4. 29.,"원래 반일을 외치는 것들이 친일파들이다. 친일파들의 냄비근성을 익히 알려졌다.
죽창가를 부르는 조국의 일본 볼펜, 조국 아들의 유니클로 점퍼, 김제동의 데쌍트...최강욱의 렉서스... 이루 말할 수 없다."
2020. 4. 29.,진정한 씹선비 나라 카악 퉤~ 더럽다 더러워 한입으로 두말하냐
2020. 4. 29.,나도 불매운동이 강요하는 것 같아서 별로 바람직하다고는 생각하지 않는 사람이지만 국산이용안하고 일본제품 이용하는게 현명하다??? 뭐 관점이 일본이라면 그게 맞는말이겠지요 그런데 왜 한국에서 한국유튜버가 한국사람을 상대로 그런소릴 하는지 이해가 안되네???
2020. 4. 29.,여긴 반일하는 애들이 없노 ㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 29.,"불매운동이 말이 안되는게 우리나라는 일본제품없으면 발전못합니다 기계쪽 보면 미즈미제품이 대다수 잘알고있는 극우적기업 미쯔비시역시 기계쪽부품 오지게많아요
그런데  자동차나 옷이이나 게임기등은 오죽하겠나요? ㅋㅋ"
2020. 4. 29.,"혼다 SUV 

700만원 할인 + 개소세 100만원 할인 + 3년 엔진 파워트레인 무상 수리 + 10년 20반키로 오일 엔진필터 무상 수리 + 블랙박스 무료 설치 + 썬루프 무료 + 실내 LED 전면 교체 + 유리막 코팅 + 하이패스 무료 설치"
2020. 4. 29.,유니클로 반일운동할때  저러면 한국유니클로 사장알바 전부 한국사람이라 타격이 큰거라  하면 안된다고 했다가 눈총받은적이있네요
2020. 4. 29.,안사는사람들이 많다
2020. 4. 29.,불매운동 할 필요가있나요? 화이트국가도 아시아에서 유일하게 한국만 해줬고 그만큼 서로서로 득보고 해왔는데 문재인정부가 밝히라는거 정부기밀이라고 못밝힌다고 그러니 일본쪽에서 통보를 했고 문재인은 무시했고 당연히 일본은 통보한대로 화이트국가 제외한거고 누가 잘못한건지 묻고싶네요 좌빠들 지들 불리하면 반미반일 국뽕으로 세계제1이 대한민국인양 찬양하고 이게뭡니까 부끄럽게 국뽕들 보면 뭐든지 대한민국이 다 해냈다는식으로 떠들어대는게 그거야말로 부끄럽고 가짜뉴스임 한심하다못해 남사스럽네 딴나라들이 볼까봐 쪽팔린다
2020. 4. 29.,"반일운동의 결과는 결국 일본보다 한국의 자영업자부터 시작해 한국 기업인/노동인들의 몰락을 가져왔습니다.

특히 일본 음식점 점주분들 일본 브랜드에 종사하던 한국 기업인/노동자들은 일자리를 잃거나 봉급이 줄어들 수밖에 없었죠."
2020. 4. 29.,"좌빨들의 이중성은 쩔죠? 반일을 외치며 렉서스 타고 반미를 외치며 미국유학가고, 조국아들은 그 와중에 유니클로 입고 나오고, 만약 나경원 자식이 그랬음 난리났겠죠. 결국 선동 당하는것들은 개 돼지로 살고 그들은 군림하고"
2020. 4. 29.,유니클로에 이쁜 옷 되게 많네!!!! 우한폐렴 끝나면 매장 가서 쇼핑이나 해야겠다~
2020. 4. 29.,"반일은  원래   입으로만  나불 대고   좋은  일본제품  누구보다  빨리 사야  하는것  아닌가요~?
반일  외치며  렉서스 타는  그  있자나요   박모~~~  어느 시장  원순씨

국산이나 미제나  일제나   좋은건  그냥  좋은거죠~~"
2020. 4. 29.,"불매 제대로 된곳도 없었음. 정치 놀음에 좀 놀았을뿐. 첨에 걍 타켓이 유니만 된거뿐 시간 지나니 역시나 다시 사람 많아짐. 

불매초기에도 유니 세일 한다니까 매출이 금방 다시 올라감 . 

불매 하자는것들도 보면 선택적 불매. 그마저 제대로된 불매 일어난게 없음. 편의점 갈거 다가고 여전히 일본맥주 사먹고

 야쿠루트 매출좋고 닌텐도 못구해서 난리고 ㅎㅎ"
2020. 4. 29.,뭐 유니는안되고 닌텐도는 되나 ㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 29.,뭐 원래 유니클로 가면 사는 게 몇 개 정해져 있어서 겨울에 입던 뽀글이 이번 겨울에도 한 벌 샀네요. 불매운동 덕분이었는지 세일가가 엄청나서 안 사면 손해다 싶어서 샀네요. 그리고 저 같은 여성분들은 유니클로 속옷류 많이 살걸요. 근데 속옷은 요즘 비슷한 좋은 제품이 저렴하게 나오는 데가 생겨서 불매운동 하기 전부터 이미 인터넷으로 구매하고 있어요. 본인이 합리적으로 결정해서 소비하면 될 일~ 세계 경제가 하나로 묶여 돌아가는 세상에 혼자 무슨 자급자족 경제를 외치는지
2020. 4. 29.,"구독자 6만명 가까이 보유한 채널의 유튜버라면 사실만을 전달해야하는 거 아닙니까?
6만명이 개돼지 될까봐 알려드립니다.
자기 모습이 좀 그러니 오늘은 목소리만 내보내겠다 하고 있잖습니까? 
저거 찍은 영상은 최근은 커녕 몇 달이나 지난 영상이기에 목소리밖에 넣을 수 없는 겁니다."
